O P Q R S T U V W X Y Z 00 01 02 10 11 12 20 21 22 03 04 05 13 14 15 23 24 25 06 07 08 16 17 18 26 27 28 09 0a 0b 19 1a 1b 29 2a 2b 0c 0d 0e 1c 1d 1e 2c 2d 2e 0f 0g 0h 1f 1g 1h 2f 2g 2h 0i 0j 1i 1j 2i 2j
O 00 01 02 03 04
P 03 04 05 13 14
P 04 05 06 14 15
P 05 06 07 15 16
P 06 07 08 16 17
P 07 08 09 17 18
P 08 09 0a 18 19
P 09 0a 0b 19 1a
P 0a 0b 0c 1a 1b
P 0b 0c 0d 1b 1c
P 0c 0d 0e 1c 1d
P 0d 0e 0f 1d 1e
P 0e 0f 0g 1e 1f
P 0f 0g 0h 1f 1g
P 0g 0h 0i 1g 1h
P 0h 0i 0j 1h 1i
P 10 11 12 20 21
P 11 12 13 21 22
P 12 13 14 22 23
P 13 14 15 23 24
P 14 15 16 24 25
P 15 16 17 25 26
P 16 17 18 26 27
P 17 18 19 27 28
P 18 19 1a 28 29
P 19 1a 1b 29 2a
P 1a 1b 1c 2a 2b
P 1b 1c 1d 2b 2c
P 1c 1d 1e 2c 2d
P 1d 1e 1f 2d 2e
P 1e 1f 1g 2e 2f
P 1f 1g 1h 2f 2g
P 1g 1h 1i 2g 2h
P 00 01 02 11 12
P 01 02 03 12 13
P 02 03 04 13 14
P 03 04 05 14 15
P 04 05 06 15 16
P 05 06 07 16 17
P 06 07 08 17 18
P 07 08 09 18 19
P 08 09 0a 19 1a
P 09 0a 0b 1a 1b
P 0a 0b 0c 1b 1c
P 0b 0c 0d 1c 1d
P 0c 0d 0e 1d 1e
P 0d 0e 0f 1e 1f
P 0e 0f 0g 1f 1g
P 0f 0g 0h 1g 1h
P 0g 0h 0i 1h 1i
P 0h 0i 0j 1i 1j
P 11 12 13 22 23
P 12 13 14 23 24
P 13 14 15 24 25
P 14 15 16 25 26
P 15 16 17 26 27
P 16 17 18 27 28
P 17 18 19 28 29
P 18 19 1a 29 2a
P 19 1a 1b 2a 2b
P 1a 1b 1c 2b 2c
P 1b 1c 1d 2c 2d
P 1c 1d 1e 2d 2e
P 1d 1e 1f 2e 2f
P 1e 1f 1g 2f 2g
P 1f 1g 1h 2g 2h
P 1g 1h 1i 2h 2i
P 1h 1i 1j 2i 2j
P 00 01 10 11 12
P 01 02 11 12 13
P 02 03 12 13 14
P 03 04 13 14 15
P 04 05 14 15 16
P 05 06 15 16 17
P 06 07 16 17 18
P 07 08 17 18 19
P 08 09 18 19 1a
P 09 0a 19 1a 1b
P 0a 0b 1a 1b 1c
P 0b 0c 1b 1c 1d
P 0c 0d 1c 1d 1e
P 0d 0e 1d 1e 1f
P 0e 0f 1e 1f 1g
P 0f 0g 1f 1g 1h
P 0g 0h 1g 1h 1i
P 10 11 20 21 22
P 11 12 21 22 23
P 12 13 22 23 24
P 13 14 23 24 25
P 14 15 24 25 26
P 15 16 25 26 27
P 16 17 26 27 28
P 17 18 27 28 29
P 18 19 28 29 2a
P 19 1a 29 2a 2b
P 1a 1b 2a 2b 2c
P 1b 1c 2b 2c 2d
P 1c 1d 2c 2d 2e
P 1d 1e 2d 2e 2f
P 1e 1f 2e 2f 2g
P 1f 1g 2f 2g 2h
P 1g 1h 2g 2h 2i
P 1h 1i 2h 2i 2j
P 02 03 11 12 13
P 03 04 12 13 14
P 04 05 13 14 15
P 05 06 14 15 16
P 06 07 15 16 17
P 07 08 16 17 18
P 08 09 17 18 19
P 09 0a 18 19 1a
P 0a 0b 19 1a 1b
P 0b 0c 1a 1b 1c
P 0c 0d 1b 1c 1d
P 0d 0e 1c 1d 1e
P 0e 0f 1d 1e 1f
P 0f 0g 1e 1f 1g
P 0g 0h 1f 1g 1h
P 0h 0i 1g 1h 1i
P 0i 0j 1h 1i 1j
P 11 12 20 21 22
P 12 13 21 22 23
P 13 14 22 23 24
P 14 15 23 24 25
P 15 16 24 25 26
P 16 17 25 26 27
P 17 18 26 27 28
P 18 19 27 28 29
P 19 1a 28 29 2a
P 1a 1b 29 2a 2b
P 1b 1c 2a 2b 2c
P 1c 1d 2b 2c 2d
P 1d 1e 2c 2d 2e
P 1e 1f 2d 2e 2f
P 1f 1g 2e 2f 2g
P 1g 1h 2f 2g 2h
P 1h 1i 2g 2h 2i
P 1i 1j 2h 2i 2j
Q 00 01 02 03 13
Q 01 02 03 04 14
Q 02 03 04 05 15
Q 03 04 05 06 16
Q 04 05 06 07 17
Q 05 06 07 08 18
Q 06 07 08 09 19
Q 07 08 09 0a 1a
Q 08 09 0a 0b 1b
Q 09 0a 0b 0c 1c
Q 0a 0b 0c 0d 1d
Q 0b 0c 0d 0e 1e
Q 0c 0d 0e 0f 1f
Q 0d 0e 0f 0g 1g
Q 0e 0f 0g 0h 1h
Q 0f 0g 0h 0i 1i
Q 0g 0h 0i 0j 1j
Q 11 12 13 14 24
Q 12 13 14 15 25
Q 13 14 15 16 26
Q 14 15 16 17 27
Q 15 16 17 18 28
Q 16 17 18 19 29
Q 17 18 19 1a 2a
Q 18 19 1a 1b 2b
Q 19 1a 1b 1c 2c
Q 1a 1b 1c 1d 2d
Q 1b 1c 1d 1e 2e
Q 1c 1d 1e 1f 2f
Q 1d 1e 1f 1g 2g
Q 1e 1f 1g 1h 2h
Q 1f 1g 1h 1i 2i
Q 1g 1h 1i 1j 2j
Q 00 01 02 03 10
Q 01 02 03 04 11
Q 02 03 04 05 12
Q 03 04 05 06 13
Q 04 05 06 07 14
Q 05 06 07 08 15
Q 06 07 08 09 16
Q 07 08 09 0a 17
Q 08 09 0a 0b 18
Q 09 0a 0b 0c 19
Q 0a 0b 0c 0d 1a
Q 0b 0c 0d 0e 1b
Q 0c 0d 0e 0f 1c
Q 0d 0e 0f 0g 1d
Q 0e 0f 0g 0h 1e
Q 0f 0g 0h 0i 1f
Q 0g 0h 0i 0j 1g
Q 10 11 12 13 20
Q 11 12 13 14 21
Q 12 13 14 15 22
Q 13 14 15 16 23
Q 14 15 16 17 24
Q 15 16 17 18 25
Q 16 17 18 19 26
Q 17 18 19 1a 27
Q 18 19 1a 1b 28
Q 19 1a 1b 1c 29
Q 1a 1b 1c 1d 2a
Q 1b 1c 1d 1e 2b
Q 1c 1d 1e 1f 2c
Q 1d 1e 1f 1g 2d
Q 1e 1f 1g 1h 2e
Q 1f 1g 1h 1i 2f
Q 00 10 11 12 13
Q 01 11 12 13 14
Q 02 12 13 14 15
Q 03 13 14 15 16
Q 04 14 15 16 17
Q 05 15 16 17 18
Q 06 16 17 18 19
Q 07 17 18 19 1a
Q 08 18 19 1a 1b
Q 09 19 1a 1b 1c
Q 0a 1a 1b 1c 1d
Q 0b 1b 1c 1d 1e
Q 0c 1c 1d 1e 1f
Q 0d 1d 1e 1f 1g
Q 0e 1e 1f 1g 1h
Q 0f 1f 1g 1h 1i
Q 10 20 21 22 23
Q 11 21 22 23 24
Q 12 22 23 24 25
Q 13 23 24 25 26
Q 14 24 25 26 27
Q 15 25 26 27 28
Q 16 26 27 28 29
Q 17 27 28 29 2a
Q 18 28 29 2a 2b
Q 19 29 2a 2b 2c
Q 1a 2a 2b 2c 2d
Q 1b 2b 2c 2d 2e
Q 1c 2c 2d 2e 2f
Q 1d 2d 2e 2f 2g
Q 1e 2e 2f 2g 2h
Q 1f 2f 2g 2h 2i
Q 1g 2g 2h 2i 2j
Q 04 11 12 13 14
Q 05 12 13 14 15
Q 06 13 14 15 16
Q 07 14 15 16 17
Q 08 15 16 17 18
Q 09 16 17 18 19
Q 0a 17 18 19 1a
Q 0b 18 19 1a 1b
Q 0c 19 1a 1b 1c
Q 0d 1a 1b 1c 1d
Q 0e 1b 1c 1d 1e
Q 0f 1c 1d 1e 1f
Q 0g 1d 1e 1f 1g
Q 0h 1e 1f 1g 1h
Q 0i 1f 1g 1h 1i
Q 0j 1g 1h 1i 1j
Q 13 20 21 22 23
Q 14 21 22 23 24
Q 15 22 23 24 25
Q 16 23 24 25 26
Q 17 24 25 26 27
Q 18 25 26 27 28
Q 19 26 27 28 29
Q 1a 27 28 29 2a
Q 1b 28 29 2a 2b
Q 1c 29 2a 2b 2c
Q 1d 2a 2b 2c 2d
Q 1e 2b 2c 2d 2e
Q 1f 2c 2d 2e 2f
Q 1g 2d 2e 2f 2g
Q 1h 2e 2f 2g 2h
Q 1i 2f 2g 2h 2i
Q 1j 2g 2h 2i 2j
R 02 03 11 12 22
R 07 08 16 17 27
R 0c 0d 1b 1c 2c
R 0h 0i 1g 1h 2h
R 01 02 12 13 22
R 06 07 17 18 27
R 0b 0c 1c 1d 2c
R 0g 0h 1h 1i 2h
R 02 11 12 22 23
R 07 16 17 27 28
R 0c 1b 1c 2c 2d
R 0h 1g 1h 2h 2i
R 02 12 13 21 22
R 07 17 18 26 27
R 0c 1c 1d 2b 2c
R 0h 1h 1i 2g 2h
R 05 14 15 16 26
R 0a 19 1a 1b 2b
R 0f 1e 1f 1g 2g
R 04 13 14 15 23
R 09 18 19 1a 28
R 0e 1d 1e 1f 2d
R 06 14 15 16 25
R 0b 19 1a 1b 2a
R 0g 1e 1f 1g 2f
R 03 13 14 15 24
R 08 18 19 1a 29
R 0d 1d 1e 1f 2e
S 01 02 03 13 14
S 02 03 04 14 15
S 03 04 05 15 16
S 04 05 06 16 17
S 05 06 07 17 18
S 06 07 08 18 19
S 07 08 09 19 1a
S 08 09 0a 1a 1b
S 09 0a 0b 1b 1c
S 0a 0b 0c 1c 1d
S 0b 0c 0d 1d 1e
S 0c 0d 0e 1e 1f
S 0d 0e 0f 1f 1g
S 0e 0f 0g 1g 1h
S 0f 0g 0h 1h 1i
S 10 11 12 22 23
S 11 12 13 23 24
S 12 13 14 24 25
S 13 14 15 25 26
S 14 15 16 26 27
S 15 16 17 27 28
S 16 17 18 28 29
S 17 18 19 29 2a
S 18 19 1a 2a 2b
S 19 1a 1b 2b 2c
S 1a 1b 1c 2c 2d
S 1b 1c 1d 2d 2e
S 1c 1d 1e 2e 2f
S 1d 1e 1f 2f 2g
S 1e 1f 1g 2g 2h
S 1f 1g 1h 2h 2i
S 1g 1h 1i 2i 2j
S 02 03 04 11 12
S 03 04 05 12 13
S 04 05 06 13 14
S 05 06 07 14 15
S 06 07 08 15 16
S 07 08 09 16 17
S 08 09 0a 17 18
S 09 0a 0b 18 19
S 0a 0b 0c 19 1a
S 0b 0c 0d 1a 1b
S 0c 0d 0e 1b 1c
S 0d 0e 0f 1c 1d
S 0e 0f 0g 1d 1e
S 0f 0g 0h 1e 1f
S 0g 0h 0i 1f 1g
S 0h 0i 0j 1g 1h
S 11 12 13 20 21
S 12 13 14 21 22
S 13 14 15 22 23
S 14 15 16 23 24
S 15 16 17 24 25
S 16 17 18 25 26
S 17 18 19 26 27
S 18 19 1a 27 28
S 19 1a 1b 28 29
S 1a 1b 1c 29 2a
S 1b 1c 1d 2a 2b
S 1c 1d 1e 2b 2c
S 1d 1e 1f 2c 2d
S 1e 1f 1g 2d 2e
S 1f 1g 1h 2e 2f
S 1g 1h 1i 2f 2g
S 03 04 11 12 13
S 04 05 12 13 14
S 05 06 13 14 15
S 06 07 14 15 16
S 07 08 15 16 17
S 08 09 16 17 18
S 09 0a 17 18 19
S 0a 0b 18 19 1a
S 0b 0c 19 1a 1b
S 0c 0d 1a 1b 1c
S 0d 0e 1b 1c 1d
S 0e 0f 1c 1d 1e
S 0f 0g 1d 1e 1f
S 0g 0h 1e 1f 1g
S 0h 0i 1f 1g 1h
S 0i 0j 1g 1h 1i
S 12 13 20 21 22
S 13 14 21 22 23
S 14 15 22 23 24
S 15 16 23 24 25
S 16 17 24 25 26
S 17 18 25 26 27
S 18 19 26 27 28
S 19 1a 27 28 29
S 1a 1b 28 29 2a
S 1b 1c 29 2a 2b
S 1c 1d 2a 2b 2c
S 1d 1e 2b 2c 2d
S 1e 1f 2c 2d 2e
S 1f 1g 2d 2e 2f
S 1g 1h 2e 2f 2g
S 1h 1i 2f 2g 2h
S 00 01 11 12 13
S 01 02 12 13 14
S 02 03 13 14 15
S 03 04 14 15 16
S 04 05 15 16 17
S 05 06 16 17 18
S 06 07 17 18 19
S 07 08 18 19 1a
S 08 09 19 1a 1b
S 09 0a 1a 1b 1c
S 0a 0b 1b 1c 1d
S 0b 0c 1c 1d 1e
S 0c 0d 1d 1e 1f
S 0d 0e 1e 1f 1g
S 0e 0f 1f 1g 1h
S 0f 0g 1g 1h 1i
S 11 12 22 23 24
S 12 13 23 24 25
S 13 14 24 25 26
S 14 15 25 26 27
S 15 16 26 27 28
S 16 17 27 28 29
S 17 18 28 29 2a
S 18 19 29 2a 2b
S 19 1a 2a 2b 2c
S 1a 1b 2b 2c 2d
S 1b 1c 2c 2d 2e
S 1c 1d 2d 2e 2f
S 1d 1e 2e 2f 2g
S 1e 1f 2f 2g 2h
S 1f 1g 2g 2h 2i
S 1g 1h 2h 2i 2j
T 01 02 03 12 22
T 06 07 08 17 27
T 0b 0c 0d 1c 2c
T 0g 0h 0i 1h 2h
T 02 12 21 22 23
T 07 17 26 27 28
T 0c 1c 2b 2c 2d
T 0h 1h 2g 2h 2i
T 00 10 11 12 20
T 05 15 16 17 25
T 0a 1a 1b 1c 2a
T 0f 1f 1g 1h 2f
T 04 12 13 14 24
T 09 17 18 19 29
T 0e 1c 1d 1e 2e
T 0j 1h 1i 1j 2j
U 10 12 20 21 22
U 11 13 21 22 23
U 12 14 22 23 24
U 13 15 23 24 25
U 14 16 24 25 26
U 15 17 25 26 27
U 16 18 26 27 28
U 17 19 27 28 29
U 18 1a 28 29 2a
U 19 1b 29 2a 2b
U 1a 1c 2a 2b 2c
U 1b 1d 2b 2c 2d
U 1c 1e 2c 2d 2e
U 1d 1f 2d 2e 2f
U 1e 1g 2e 2f 2g
U 1f 1h 2f 2g 2h
U 1g 1i 2g 2h 2i
U 1h 1j 2h 2i 2j
U 00 01 02 10 12
U 01 02 03 11 13
U 02 03 04 12 14
U 03 04 05 13 15
U 04 05 06 14 16
U 05 06 07 15 17
U 06 07 08 16 18
U 07 08 09 17 19
U 08 09 0a 18 1a
U 09 0a 0b 19 1b
U 0a 0b 0c 1a 1c
U 0b 0c 0d 1b 1d
U 0c 0d 0e 1c 1e
U 0d 0e 0f 1d 1f
U 0e 0f 0g 1e 1g
U 0f 0g 0h 1f 1h
U 0g 0h 0i 1g 1i
U 0h 0i 0j 1h 1j
U 00 01 10 20 21
U 05 06 15 25 26
U 0a 0b 1a 2a 2b
U 0f 0g 1f 2f 2g
U 03 04 14 23 24
U 08 09 19 28 29
U 0d 0e 1e 2d 2e
U 0i 0j 1j 2i 2j
V 00 01 02 10 20
V 05 06 07 15 25
V 0a 0b 0c 1a 2a
V 0f 0g 0h 1f 2f
W 04 05 13 14 23
W 09 0a 18 19 28
W 0e 0f 1d 1e 2d
W 04 05 15 16 26
W 09 0a 1a 1b 2b
W 0e 0f 1f 1g 2g
W 03 13 14 24 25
W 08 18 19 29 2a
W 0d 1d 1e 2e 2f
W 06 15 16 24 25
W 0b 1a 1b 29 2a
W 0g 1f 1g 2e 2f
X 02 11 12 13 22
X 07 16 17 18 27
X 0c 1b 1c 1d 2c
X 0h 1g 1h 1i 2h
Y 03 11 12 13 14
Y 04 12 13 14 15
Y 05 13 14 15 16
Y 06 14 15 16 17
Y 07 15 16 17 18
Y 08 16 17 18 19
Y 09 17 18 19 1a
Y 0a 18 19 1a 1b
Y 0b 19 1a 1b 1c
Y 0c 1a 1b 1c 1d
Y 0d 1b 1c 1d 1e
Y 0e 1c 1d 1e 1f
Y 0f 1d 1e 1f 1g
Y 0g 1e 1f 1g 1h
Y 0h 1f 1g 1h 1i
Y 12 20 21 22 23
Y 13 21 22 23 24
Y 14 22 23 24 25
Y 15 23 24 25 26
Y 16 24 25 26 27
Y 17 25 26 27 28
Y 18 26 27 28 29
Y 19 27 28 29 2a
Y 1a 28 29 2a 2b
Y 1b 29 2a 2b 2c
Y 1c 2a 2b 2c 2d
Y 1d 2b 2c 2d 2e
Y 1e 2c 2d 2e 2f
Y 1f 2d 2e 2f 2g
Y 1g 2e 2f 2g 2h
Y 1h 2f 2g 2h 2i
Y 1i 2g 2h 2i 2j
Y 02 11 12 13 14
Y 03 12 13 14 15
Y 04 13 14 15 16
Y 05 14 15 16 17
Y 06 15 16 17 18
Y 07 16 17 18 19
Y 08 17 18 19 1a
Y 09 18 19 1a 1b
Y 0a 19 1a 1b 1c
Y 0b 1a 1b 1c 1d
Y 0c 1b 1c 1d 1e
Y 0d 1c 1d 1e 1f
Y 0e 1d 1e 1f 1g
Y 0f 1e 1f 1g 1h
Y 0g 1f 1g 1h 1i
Y 11 20 21 22 23
Y 12 21 22 23 24
Y 13 22 23 24 25
Y 14 23 24 25 26
Y 15 24 25 26 27
Y 16 25 26 27 28
Y 17 26 27 28 29
Y 18 27 28 29 2a
Y 19 28 29 2a 2b
Y 1a 29 2a 2b 2c
Y 1b 2a 2b 2c 2d
Y 1c 2b 2c 2d 2e
Y 1d 2c 2d 2e 2f
Y 1e 2d 2e 2f 2g
Y 1f 2e 2f 2g 2h
Y 1g 2f 2g 2h 2i
Y 1h 2g 2h 2i 2j
Y 00 01 02 03 12
Y 01 02 03 04 13
Y 02 03 04 05 14
Y 03 04 05 06 15
Y 04 05 06 07 16
Y 05 06 07 08 17
Y 06 07 08 09 18
Y 07 08 09 0a 19
Y 08 09 0a 0b 1a
Y 09 0a 0b 0c 1b
Y 0a 0b 0c 0d 1c
Y 0b 0c 0d 0e 1d
Y 0c 0d 0e 0f 1e
Y 0d 0e 0f 0g 1f
Y 0e 0f 0g 0h 1g
Y 0f 0g 0h 0i 1h
Y 0g 0h 0i 0j 1i
Y 11 12 13 14 23
Y 12 13 14 15 24
Y 13 14 15 16 25
Y 14 15 16 17 26
Y 15 16 17 18 27
Y 16 17 18 19 28
Y 17 18 19 1a 29
Y 18 19 1a 1b 2a
Y 19 1a 1b 1c 2b
Y 1a 1b 1c 1d 2c
Y 1b 1c 1d 1e 2d
Y 1c 1d 1e 1f 2e
Y 1d 1e 1f 1g 2f
Y 1e 1f 1g 1h 2g
Y 1f 1g 1h 1i 2h
Y 00 01 02 03 11
Y 01 02 03 04 12
Y 02 03 04 05 13
Y 03 04 05 06 14
Y 04 05 06 07 15
Y 05 06 07 08 16
Y 06 07 08 09 17
Y 07 08 09 0a 18
Y 08 09 0a 0b 19
Y 09 0a 0b 0c 1a
Y 0a 0b 0c 0d 1b
Y 0b 0c 0d 0e 1c
Y 0c 0d 0e 0f 1d
Y 0d 0e 0f 0g 1e
Y 0e 0f 0g 0h 1f
Y 0f 0g 0h 0i 1g
Y 0g 0h 0i 0j 1h
Y 11 12 13 14 22
Y 12 13 14 15 23
Y 13 14 15 16 24
Y 14 15 16 17 25
Y 15 16 17 18 26
Y 16 17 18 19 27
Y 17 18 19 1a 28
Y 18 19 1a 1b 29
Y 19 1a 1b 1c 2a
Y 1a 1b 1c 1d 2b
Y 1b 1c 1d 1e 2c
Y 1c 1d 1e 1f 2d
Y 1d 1e 1f 1g 2e
Y 1e 1f 1g 1h 2f
Y 1f 1g 1h 1i 2g
Z 01 02 12 22 23
Z 06 07 17 27 28
Z 0b 0c 1c 2c 2d
Z 0g 0h 1h 2h 2i
Z 02 03 12 21 22
Z 07 08 17 26 27
Z 0c 0d 1c 2b 2c
Z 0h 0i 1h 2g 2h
Z 03 11 12 13 21
Z 08 16 17 18 26
Z 0d 1b 1c 1d 2b
Z 0i 1g 1h 1i 2g
Z 01 11 12 13 23
Z 06 16 17 18 28
Z 0b 1b 1c 1d 2d
Z 0g 1g 1h 1i 2i
