A0 00:W 01:H 02:I 03:C 04:H C:1 H:1 I:1 W:1
A1 10:W 11:H 12:I 13:C 14:H C:1 H:1 I:1 W:1
A2 20:W 21:H 22:I 23:C 24:H C:1 H:1 I:1 W:1
A3 30:W 31:H 32:I 33:C 34:H C:1 H:1 I:1 W:1
A0 00:T 01:H 02:E 03:R 04:E E:1 H:1 R:1 T:1
A1 10:T 11:H 12:E 13:R 14:E E:1 H:1 R:1 T:1
A2 20:T 21:H 22:E 23:R 24:E E:1 H:1 R:1 T:1
A3 30:T 31:H 32:E 33:R 34:E E:1 H:1 R:1 T:1
A3 30:W 31:A 32:T 33:E 34:R A:1 E:1 R:1 T:1 W:1
A0 00:A 01:F 02:T 03:E 04:R A:1 E:1 F:1 R:1 T:1
A1 10:A 11:F 12:T 13:E 14:R A:1 E:1 F:1 R:1 T:1
A2 20:A 21:F 22:T 23:E 24:R A:1 E:1 F:1 R:1 T:1
A3 30:A 31:F 32:T 33:E 34:R A:1 E:1 F:1 R:1 T:1
A0 00:W 01:H 02:E 03:R 04:E E:1 H:1 R:1 W:1
A1 10:W 11:H 12:E 13:R 14:E E:1 H:1 R:1 W:1
A2 20:W 21:H 22:E 23:R 24:E E:1 H:1 R:1 W:1
A3 30:W 31:H 32:E 33:R 34:E E:1 H:1 R:1 W:1
A0 00:R 01:I 02:G 03:H 04:T G:1 H:1 I:1 R:1 T:1
A1 10:R 11:I 12:G 13:H 14:T G:1 H:1 I:1 R:1 T:1
A2 20:R 21:I 22:G 23:H 24:T G:1 H:1 I:1 R:1 T:1
A3 30:R 31:I 32:G 33:H 34:T G:1 H:1 I:1 R:1 T:1
A0 00:T 01:H 02:I 03:N 04:K H:1 I:1 K:1 N:1 T:1
A1 10:T 11:H 12:I 13:N 14:K H:1 I:1 K:1 N:1 T:1
A2 20:T 21:H 22:I 23:N 24:K H:1 I:1 K:1 N:1 T:1
A3 30:T 31:H 32:I 33:N 34:K H:1 I:1 K:1 N:1 T:1
A0 00:T 01:H 02:R 03:E 04:E E:1 H:1 R:1 T:1
A1 10:T 11:H 12:R 13:E 14:E E:1 H:1 R:1 T:1
A2 20:T 21:H 22:R 23:E 24:E E:1 H:1 R:1 T:1
A3 30:T 31:H 32:R 33:E 34:E E:1 H:1 R:1 T:1
A0 00:Y 01:E 02:A 03:R 04:S A:1 E:1 R:1 S:1 Y:1
A1 10:Y 11:E 12:A 13:R 14:S A:1 E:1 R:1 S:1 Y:1
A2 20:Y 21:E 22:A 23:R 24:S A:1 E:1 R:1 S:1 Y:1
A3 30:Y 31:E 32:A 33:R 34:S A:1 E:1 R:1 S:1 Y:1
A0 00:P 01:L 02:A 03:C 04:E A:1 C:1 E:1 L:1 P:1
A1 10:P 11:L 12:A 13:C 14:E A:1 C:1 E:1 L:1 P:1
A2 20:P 21:L 22:A 23:C 24:E A:1 C:1 E:1 L:1 P:1
A3 30:P 31:L 32:A 33:C 34:E A:1 C:1 E:1 L:1 P:1
A0 00:S 01:O 02:U 03:N 04:D D:1 N:1 O:1 S:1 U:1
A1 10:S 11:O 12:U 13:N 14:D D:1 N:1 O:1 S:1 U:1
A2 20:S 21:O 22:U 23:N 24:D D:1 N:1 O:1 S:1 U:1
A3 30:S 31:O 32:U 33:N 34:D D:1 N:1 O:1 S:1 U:1
A0 00:G 01:R 02:E 03:A 04:T A:1 E:1 G:1 R:1 T:1
A1 10:G 11:R 12:E 13:A 14:T A:1 E:1 G:1 R:1 T:1
A2 20:G 21:R 22:E 23:A 24:T A:1 E:1 G:1 R:1 T:1
A3 30:G 31:R 32:E 33:A 34:T A:1 E:1 G:1 R:1 T:1
A0 00:A 01:G 02:A 03:I 04:N A:1 G:1 I:1 N:1
A1 10:A 11:G 12:A 13:I 14:N A:1 G:1 I:1 N:1
A2 20:A 21:G 22:A 23:I 24:N A:1 G:1 I:1 N:1
A3 30:A 31:G 32:A 33:I 34:N A:1 G:1 I:1 N:1
A0 00:S 01:T 02:I 03:L 04:L I:1 L:1 S:1 T:1
A1 10:S 11:T 12:I 13:L 14:L I:1 L:1 S:1 T:1
A2 20:S 21:T 22:I 23:L 24:L I:1 L:1 S:1 T:1
A3 30:S 31:T 32:I 33:L 34:L I:1 L:1 S:1 T:1
A0 00:E 01:V 02:E 03:R 04:Y E:1 R:1 V:1 Y:1
A1 10:E 11:V 12:E 13:R 14:Y E:1 R:1 V:1 Y:1
A2 20:E 21:V 22:E 23:R 24:Y E:1 R:1 V:1 Y:1
A3 30:E 31:V 32:E 33:R 34:Y E:1 R:1 V:1 Y:1
A0 00:S 01:M 02:A 03:L 04:L A:1 L:1 M:1 S:1
A1 10:S 11:M 12:A 13:L 14:L A:1 L:1 M:1 S:1
A2 20:S 21:M 22:A 23:L 24:L A:1 L:1 M:1 S:1
A3 30:S 31:M 32:A 33:L 34:L A:1 L:1 M:1 S:1
A0 00:F 01:O 02:U 03:N 04:D D:1 F:1 N:1 O:1 U:1
A1 10:F 11:O 12:U 13:N 14:D D:1 F:1 N:1 O:1 U:1
A2 20:F 21:O 22:U 23:N 24:D D:1 F:1 N:1 O:1 U:1
A3 30:F 31:O 32:U 33:N 34:D D:1 F:1 N:1 O:1 U:1
A0 00:T 01:H 02:O 03:S 04:E E:1 H:1 O:1 S:1 T:1
A1 10:T 11:H 12:O 13:S 14:E E:1 H:1 O:1 S:1 T:1
A2 20:T 21:H 22:O 23:S 24:E E:1 H:1 O:1 S:1 T:1
A3 30:T 31:H 32:O 33:S 34:E E:1 H:1 O:1 S:1 T:1
A0 00:N 01:E 02:V 03:E 04:R E:1 N:1 R:1 V:1
A1 10:N 11:E 12:V 13:E 14:R E:1 N:1 R:1 V:1
A2 20:N 21:E 22:V 23:E 24:R E:1 N:1 R:1 V:1
A3 30:N 31:E 32:V 33:E 34:R E:1 N:1 R:1 V:1
A0 00:U 01:N 02:D 03:E 04:R D:1 E:1 N:1 R:1 U:1
A1 10:U 11:N 12:D 13:E 14:R D:1 E:1 N:1 R:1 U:1
A2 20:U 21:N 22:D 23:E 24:R D:1 E:1 N:1 R:1 U:1
A3 30:U 31:N 32:D 33:E 34:R D:1 E:1 N:1 R:1 U:1
A0 00:M 01:I 02:G 03:H 04:T G:1 H:1 I:1 M:1 T:1
A1 10:M 11:I 12:G 13:H 14:T G:1 H:1 I:1 M:1 T:1
A2 20:M 21:I 22:G 23:H 24:T G:1 H:1 I:1 M:1 T:1
A3 30:M 31:I 32:G 33:H 34:T G:1 H:1 I:1 M:1 T:1
A0 00:W 01:H 02:I 03:L 04:E E:1 H:1 I:1 L:1 W:1
A1 10:W 11:H 12:I 13:L 14:E E:1 H:1 I:1 L:1 W:1
A2 20:W 21:H 22:I 23:L 24:E E:1 H:1 I:1 L:1 W:1
A3 30:W 31:H 32:I 33:L 34:E E:1 H:1 I:1 L:1 W:1
A0 00:H 01:O 02:U 03:S 04:E E:1 H:1 O:1 S:1 U:1
A1 10:H 11:O 12:U 13:S 14:E E:1 H:1 O:1 S:1 U:1
A2 20:H 21:O 22:U 23:S 24:E E:1 H:1 O:1 S:1 U:1
A3 30:H 31:O 32:U 33:S 34:E E:1 H:1 O:1 S:1 U:1
A0 00:W 01:O 02:R 03:L 04:D D:1 L:1 O:1 R:1 W:1
A1 10:W 11:O 12:R 13:L 14:D D:1 L:1 O:1 R:1 W:1
A2 20:W 21:O 22:R 23:L 24:D D:1 L:1 O:1 R:1 W:1
A3 30:W 31:O 32:R 33:L 34:D D:1 L:1 O:1 R:1 W:1
A0 00:B 01:E 02:L 03:O 04:W B:1 E:1 L:1 O:1 W:1
A1 10:B 11:E 12:L 13:O 14:W B:1 E:1 L:1 O:1 W:1
A2 20:B 21:E 22:L 23:O 24:W B:1 E:1 L:1 O:1 W:1
A3 30:B 31:E 32:L 33:O 34:W B:1 E:1 L:1 O:1 W:1
A0 00:A 01:S 02:K 03:E 04:D A:1 D:1 E:1 K:1 S:1
A1 10:A 11:S 12:K 13:E 14:D A:1 D:1 E:1 K:1 S:1
A2 20:A 21:S 22:K 23:E 24:D A:1 D:1 E:1 K:1 S:1
A3 30:A 31:S 32:K 33:E 34:D A:1 D:1 E:1 K:1 S:1
A0 00:G 01:O 02:I 03:N 04:G G:1 I:1 N:1 O:1
A1 10:G 11:O 12:I 13:N 14:G G:1 I:1 N:1 O:1
A2 20:G 21:O 22:I 23:N 24:G G:1 I:1 N:1 O:1
A3 30:G 31:O 32:I 33:N 34:G G:1 I:1 N:1 O:1
A0 00:L 01:A 02:R 03:G 04:E A:1 E:1 G:1 L:1 R:1
A1 10:L 11:A 12:R 13:G 14:E A:1 E:1 G:1 L:1 R:1
A2 20:L 21:A 22:R 23:G 24:E A:1 E:1 G:1 L:1 R:1
A3 30:L 31:A 32:R 33:G 34:E A:1 E:1 G:1 L:1 R:1
A0 00:U 01:N 02:T 03:I 04:L I:1 L:1 N:1 T:1 U:1
A1 10:U 11:N 12:T 13:I 14:L I:1 L:1 N:1 T:1 U:1
A2 20:U 21:N 22:T 23:I 24:L I:1 L:1 N:1 T:1 U:1
A3 30:U 31:N 32:T 33:I 34:L I:1 L:1 N:1 T:1 U:1
A0 00:A 01:L 02:O 03:N 04:G A:1 G:1 L:1 N:1 O:1
A1 10:A 11:L 12:O 13:N 14:G A:1 G:1 L:1 N:1 O:1
A2 20:A 21:L 22:O 23:N 24:G A:1 G:1 L:1 N:1 O:1
A3 30:A 31:L 32:O 33:N 34:G A:1 G:1 L:1 N:1 O:1
A0 00:S 01:H 02:A 03:L 04:L A:1 H:1 L:1 S:1
A1 10:S 11:H 12:A 13:L 14:L A:1 H:1 L:1 S:1
A2 20:S 21:H 22:A 23:L 24:L A:1 H:1 L:1 S:1
A3 30:S 31:H 32:A 33:L 34:L A:1 H:1 L:1 S:1
A0 00:B 01:E 02:I 03:N 04:G B:1 E:1 G:1 I:1 N:1
A1 10:B 11:E 12:I 13:N 14:G B:1 E:1 G:1 I:1 N:1
A2 20:B 21:E 22:I 23:N 24:G B:1 E:1 G:1 I:1 N:1
A3 30:B 31:E 32:I 33:N 34:G B:1 E:1 G:1 I:1 N:1
A0 00:O 01:F 02:T 03:E 04:N E:1 F:1 N:1 O:1 T:1
A1 10:O 11:F 12:T 13:E 14:N E:1 F:1 N:1 O:1 T:1
A2 20:O 21:F 22:T 23:E 24:N E:1 F:1 N:1 O:1 T:1
A3 30:O 31:F 32:T 33:E 34:N E:1 F:1 N:1 O:1 T:1
A0 00:E 01:A 02:R 03:T 04:H A:1 E:1 H:1 R:1 T:1
A1 10:E 11:A 12:R 13:T 14:H A:1 E:1 H:1 R:1 T:1
A2 20:E 21:A 22:R 23:T 24:H A:1 E:1 H:1 R:1 T:1
A3 30:E 31:A 32:R 33:T 34:H A:1 E:1 H:1 R:1 T:1
A0 00:B 01:E 02:G 03:A 04:N A:1 B:1 E:1 G:1 N:1
A1 10:B 11:E 12:G 13:A 14:N A:1 B:1 E:1 G:1 N:1
A2 20:B 21:E 22:G 23:A 24:N A:1 B:1 E:1 G:1 N:1
A3 30:B 31:E 32:G 33:A 34:N A:1 B:1 E:1 G:1 N:1
A0 00:S 01:I 02:N 03:C 04:E C:1 E:1 I:1 N:1 S:1
A1 10:S 11:I 12:N 13:C 14:E C:1 E:1 I:1 N:1 S:1
A2 20:S 21:I 22:N 23:C 24:E C:1 E:1 I:1 N:1 S:1
A3 30:S 31:I 32:N 33:C 34:E C:1 E:1 I:1 N:1 S:1
A0 00:S 01:T 02:U 03:D 04:Y D:1 S:1 T:1 U:1 Y:1
A1 10:S 11:T 12:U 13:D 14:Y D:1 S:1 T:1 U:1 Y:1
A2 20:S 21:T 22:U 23:D 24:Y D:1 S:1 T:1 U:1 Y:1
A3 30:S 31:T 32:U 33:D 34:Y D:1 S:1 T:1 U:1 Y:1
A0 00:N 01:I 02:G 03:H 04:T G:1 H:1 I:1 N:1 T:1
A1 10:N 11:I 12:G 13:H 14:T G:1 H:1 I:1 N:1 T:1
A2 20:N 21:I 22:G 23:H 24:T G:1 H:1 I:1 N:1 T:1
A3 30:N 31:I 32:G 33:H 34:T G:1 H:1 I:1 N:1 T:1
A0 00:L 01:I 02:G 03:H 04:T G:1 H:1 I:1 L:1 T:1
A1 10:L 11:I 12:G 13:H 14:T G:1 H:1 I:1 L:1 T:1
A2 20:L 21:I 22:G 23:H 24:T G:1 H:1 I:1 L:1 T:1
A3 30:L 31:I 32:G 33:H 34:T G:1 H:1 I:1 L:1 T:1
A0 00:A 01:B 02:O 03:V 04:E A:1 B:1 E:1 O:1 V:1
A1 10:A 11:B 12:O 13:V 14:E A:1 B:1 E:1 O:1 V:1
A2 20:A 21:B 22:O 23:V 24:E A:1 B:1 E:1 O:1 V:1
A3 30:A 31:B 32:O 33:V 34:E A:1 B:1 E:1 O:1 V:1
A0 00:P 01:A 02:P 03:E 04:R A:1 E:1 P:1 R:1
A1 10:P 11:A 12:P 13:E 14:R A:1 E:1 P:1 R:1
A2 20:P 21:A 22:P 23:E 24:R A:1 E:1 P:1 R:1
A3 30:P 31:A 32:P 33:E 34:R A:1 E:1 P:1 R:1
A0 00:P 01:A 02:R 03:T 04:S A:1 P:1 R:1 S:1 T:1
A1 10:P 11:A 12:R 13:T 14:S A:1 P:1 R:1 S:1 T:1
A2 20:P 21:A 22:R 23:T 24:S A:1 P:1 R:1 S:1 T:1
A3 30:P 31:A 32:R 33:T 34:S A:1 P:1 R:1 S:1 T:1
A0 00:Y 01:O 02:U 03:N 04:G G:1 N:1 O:1 U:1 Y:1
A1 10:Y 11:O 12:U 13:N 14:G G:1 N:1 O:1 U:1 Y:1
A2 20:Y 21:O 22:U 23:N 24:G G:1 N:1 O:1 U:1 Y:1
A3 30:Y 31:O 32:U 33:N 34:G G:1 N:1 O:1 U:1 Y:1
A0 00:S 01:T 02:O 03:R 04:Y O:1 R:1 S:1 T:1 Y:1
A1 10:S 11:T 12:O 13:R 14:Y O:1 R:1 S:1 T:1 Y:1
A2 20:S 21:T 22:O 23:R 24:Y O:1 R:1 S:1 T:1 Y:1
A3 30:S 31:T 32:O 33:R 34:Y O:1 R:1 S:1 T:1 Y:1
A0 00:P 01:O 02:I 03:N 04:T I:1 N:1 O:1 P:1 T:1
A1 10:P 11:O 12:I 13:N 14:T I:1 N:1 O:1 P:1 T:1
A2 20:P 21:O 22:I 23:N 24:T I:1 N:1 O:1 P:1 T:1
A3 30:P 31:O 32:I 33:N 34:T I:1 N:1 O:1 P:1 T:1
A0 00:T 01:I 02:M 03:E 04:S E:1 I:1 M:1 S:1 T:1
A1 10:T 11:I 12:M 13:E 14:S E:1 I:1 M:1 S:1 T:1
A2 20:T 21:I 22:M 23:E 24:S E:1 I:1 M:1 S:1 T:1
A3 30:T 31:I 32:M 33:E 34:S E:1 I:1 M:1 S:1 T:1
A0 00:H 01:E 02:A 03:R 04:D A:1 D:1 E:1 H:1 R:1
A1 10:H 11:E 12:A 13:R 14:D A:1 D:1 E:1 H:1 R:1
A2 20:H 21:E 22:A 23:R 24:D A:1 D:1 E:1 H:1 R:1
A3 30:H 31:E 32:A 33:R 34:D A:1 D:1 E:1 H:1 R:1
A0 00:W 01:H 02:O 03:L 04:E E:1 H:1 L:1 O:1 W:1
A1 10:W 11:H 12:O 13:L 14:E E:1 H:1 L:1 O:1 W:1
A2 20:W 21:H 22:O 23:L 24:E E:1 H:1 L:1 O:1 W:1
A3 30:W 31:H 32:O 33:L 34:E E:1 H:1 L:1 O:1 W:1
A0 00:W 01:H 02:I 03:T 04:E E:1 H:1 I:1 T:1 W:1
A1 10:W 11:H 12:I 13:T 14:E E:1 H:1 I:1 T:1 W:1
A2 20:W 21:H 22:I 23:T 24:E E:1 H:1 I:1 T:1 W:1
A3 30:W 31:H 32:I 33:T 34:E E:1 H:1 I:1 T:1 W:1
A0 00:G 01:I 02:V 03:E 04:N E:1 G:1 I:1 N:1 V:1
A1 10:G 11:I 12:V 13:E 14:N E:1 G:1 I:1 N:1 V:1
A2 20:G 21:I 22:V 23:E 24:N E:1 G:1 I:1 N:1 V:1
A3 30:G 31:I 32:V 33:E 34:N E:1 G:1 I:1 N:1 V:1
A0 00:M 01:E 02:A 03:N 04:S A:1 E:1 M:1 N:1 S:1
A1 10:M 11:E 12:A 13:N 14:S A:1 E:1 M:1 N:1 S:1
A2 20:M 21:E 22:A 23:N 24:S A:1 E:1 M:1 N:1 S:1
A3 30:M 31:E 32:A 33:N 34:S A:1 E:1 M:1 N:1 S:1
A0 00:M 01:U 02:S 03:I 04:C C:1 I:1 M:1 S:1 U:1
A1 10:M 11:U 12:S 13:I 14:C C:1 I:1 M:1 S:1 U:1
A2 20:M 21:U 22:S 23:I 24:C C:1 I:1 M:1 S:1 U:1
A3 30:M 31:U 32:S 33:I 34:C C:1 I:1 M:1 S:1 U:1
A0 00:M 01:I 02:L 03:E 04:S E:1 I:1 L:1 M:1 S:1
A1 10:M 11:I 12:L 13:E 14:S E:1 I:1 L:1 M:1 S:1
A2 20:M 21:I 22:L 23:E 24:S E:1 I:1 L:1 M:1 S:1
A3 30:M 31:I 32:L 33:E 34:S E:1 I:1 L:1 M:1 S:1
A0 00:T 01:H 02:I 03:N 04:G G:1 H:1 I:1 N:1 T:1
A1 10:T 11:H 12:I 13:N 14:G G:1 H:1 I:1 N:1 T:1
A2 20:T 21:H 22:I 23:N 24:G G:1 H:1 I:1 N:1 T:1
A3 30:T 31:H 32:I 33:N 34:G G:1 H:1 I:1 N:1 T:1
A0 00:T 01:O 02:D 03:A 04:Y A:1 D:1 O:1 T:1 Y:1
A1 10:T 11:O 12:D 13:A 14:Y A:1 D:1 O:1 T:1 Y:1
A2 20:T 21:O 22:D 23:A 24:Y A:1 D:1 O:1 T:1 Y:1
A3 30:T 31:O 32:D 33:A 34:Y A:1 D:1 O:1 T:1 Y:1
A0 00:L 01:A 02:T 03:E 04:R A:1 E:1 L:1 R:1 T:1
A1 10:L 11:A 12:T 13:E 14:R A:1 E:1 L:1 R:1 T:1
A2 20:L 21:A 22:T 23:E 24:R A:1 E:1 L:1 R:1 T:1
A3 30:L 31:A 32:T 33:E 34:R A:1 E:1 L:1 R:1 T:1
A0 00:U 01:S 02:I 03:N 04:G G:1 I:1 N:1 S:1 U:1
A1 10:U 11:S 12:I 13:N 14:G G:1 I:1 N:1 S:1 U:1
A2 20:U 21:S 22:I 23:N 24:G G:1 I:1 N:1 S:1 U:1
A3 30:U 31:S 32:I 33:N 34:G G:1 I:1 N:1 S:1 U:1
A0 00:M 01:O 02:N 03:E 04:Y E:1 M:1 N:1 O:1 Y:1
A1 10:M 11:O 12:N 13:E 14:Y E:1 M:1 N:1 O:1 Y:1
A2 20:M 21:O 22:N 23:E 24:Y E:1 M:1 N:1 O:1 Y:1
A3 30:M 31:O 32:N 33:E 34:Y E:1 M:1 N:1 O:1 Y:1
A0 00:L 01:I 02:N 03:E 04:S E:1 I:1 L:1 N:1 S:1
A1 10:L 11:I 12:N 13:E 14:S E:1 I:1 L:1 N:1 S:1
A2 20:L 21:I 22:N 23:E 24:S E:1 I:1 L:1 N:1 S:1
A3 30:L 31:I 32:N 33:E 34:S E:1 I:1 L:1 N:1 S:1
A0 00:O 01:R 02:D 03:E 04:R D:1 E:1 O:1 R:1
A1 10:O 11:R 12:D 13:E 14:R D:1 E:1 O:1 R:1
A2 20:O 21:R 22:D 23:E 24:R D:1 E:1 O:1 R:1
A3 30:O 31:R 32:D 33:E 34:R D:1 E:1 O:1 R:1
A0 00:G 01:R 02:O 03:U 04:P G:1 O:1 P:1 R:1 U:1
A1 10:G 11:R 12:O 13:U 14:P G:1 O:1 P:1 R:1 U:1
A2 20:G 21:R 22:O 23:U 24:P G:1 O:1 P:1 R:1 U:1
A3 30:G 31:R 32:O 33:U 34:P G:1 O:1 P:1 R:1 U:1
A0 00:A 01:M 02:O 03:N 04:G A:1 G:1 M:1 N:1 O:1
A1 10:A 11:M 12:O 13:N 14:G A:1 G:1 M:1 N:1 O:1
A2 20:A 21:M 22:O 23:N 24:G A:1 G:1 M:1 N:1 O:1
A3 30:A 31:M 32:O 33:N 34:G A:1 G:1 M:1 N:1 O:1
A0 00:L 01:E 02:A 03:R 04:N A:1 E:1 L:1 N:1 R:1
A1 10:L 11:E 12:A 13:R 14:N A:1 E:1 L:1 N:1 R:1
A2 20:L 21:E 22:A 23:R 24:N A:1 E:1 L:1 N:1 R:1
A3 30:L 31:E 32:A 33:R 34:N A:1 E:1 L:1 N:1 R:1
A0 00:K 01:N 02:O 03:W 04:N K:1 N:1 O:1 W:1
A1 10:K 11:N 12:O 13:W 14:N K:1 N:1 O:1 W:1
A2 20:K 21:N 22:O 23:W 24:N K:1 N:1 O:1 W:1
A3 30:K 31:N 32:O 33:W 34:N K:1 N:1 O:1 W:1
A0 00:S 01:P 02:A 03:C 04:E A:1 C:1 E:1 P:1 S:1
A1 10:S 11:P 12:A 13:C 14:E A:1 C:1 E:1 P:1 S:1
A2 20:S 21:P 22:A 23:C 24:E A:1 C:1 E:1 P:1 S:1
A3 30:S 31:P 32:A 33:C 34:E A:1 C:1 E:1 P:1 S:1
A0 00:T 01:A 02:B 03:L 04:E A:1 B:1 E:1 L:1 T:1
A1 10:T 11:A 12:B 13:L 14:E A:1 B:1 E:1 L:1 T:1
A2 20:T 21:A 22:B 23:L 24:E A:1 B:1 E:1 L:1 T:1
A3 30:T 31:A 32:B 33:L 34:E A:1 B:1 E:1 L:1 T:1
A0 00:E 01:A 02:R 03:L 04:Y A:1 E:1 L:1 R:1 Y:1
A1 10:E 11:A 12:R 13:L 14:Y A:1 E:1 L:1 R:1 Y:1
A2 20:E 21:A 22:R 23:L 24:Y A:1 E:1 L:1 R:1 Y:1
A3 30:E 31:A 32:R 33:L 34:Y A:1 E:1 L:1 R:1 Y:1
A0 00:T 01:R 02:E 03:E 04:S E:1 R:1 S:1 T:1
A1 10:T 11:R 12:E 13:E 14:S E:1 R:1 S:1 T:1
A2 20:T 21:R 22:E 23:E 24:S E:1 R:1 S:1 T:1
A3 30:T 31:R 32:E 33:E 34:S E:1 R:1 S:1 T:1
A0 00:S 01:H 02:O 03:R 04:T H:1 O:1 R:1 S:1 T:1
A1 10:S 11:H 12:O 13:R 14:T H:1 O:1 R:1 S:1 T:1
A2 20:S 21:H 22:O 23:R 24:T H:1 O:1 R:1 S:1 T:1
A3 30:S 31:H 32:O 33:R 34:T H:1 O:1 R:1 S:1 T:1
A0 00:H 01:A 02:N 03:D 04:S A:1 D:1 H:1 N:1 S:1
A1 10:H 11:A 12:N 13:D 14:S A:1 D:1 H:1 N:1 S:1
A2 20:H 21:A 22:N 23:D 24:S A:1 D:1 H:1 N:1 S:1
A3 30:H 31:A 32:N 33:D 34:S A:1 D:1 H:1 N:1 S:1
A0 00:S 01:T 02:A 03:T 04:E A:1 E:1 S:1 T:1
A1 10:S 11:T 12:A 13:T 14:E A:1 E:1 S:1 T:1
A2 20:S 21:T 22:A 23:T 24:E A:1 E:1 S:1 T:1
A3 30:S 31:T 32:A 33:T 34:E A:1 E:1 S:1 T:1
A0 00:B 01:L 02:A 03:C 04:K A:1 B:1 C:1 K:1 L:1
A1 10:B 11:L 12:A 13:C 14:K A:1 B:1 C:1 K:1 L:1
A2 20:B 21:L 22:A 23:C 24:K A:1 B:1 C:1 K:1 L:1
A3 30:B 31:L 32:A 33:C 34:K A:1 B:1 C:1 K:1 L:1
A0 00:S 01:H 02:O 03:W 04:N H:1 N:1 O:1 S:1 W:1
A1 10:S 11:H 12:O 13:W 14:N H:1 N:1 O:1 S:1 W:1
A2 20:S 21:H 22:O 23:W 24:N H:1 N:1 O:1 S:1 W:1
A3 30:S 31:H 32:O 33:W 34:N H:1 N:1 O:1 S:1 W:1
A0 00:S 01:T 02:O 03:O 04:D D:1 O:1 S:1 T:1
A1 10:S 11:T 12:O 13:O 14:D D:1 O:1 S:1 T:1
A2 20:S 21:T 22:O 23:O 24:D D:1 O:1 S:1 T:1
